[2024-06-16 16:55:15,768][utils.model][INFO] - (In epoch/Overall): (81/302)| inst_loss: 0.1768 - Mean loss: 0.2110 - acc: 0.9306 - norm: 1.82 - 4.96s
[2024-06-16 16:55:16,390][utils.model][INFO] - (In epoch/Overall): (91/312)| inst_loss: 0.0674 - Mean loss: 0.2044 - acc: 0.9334 - norm: 2.03 - 5.58s
[2024-06-16 16:55:16,953][utils.model][INFO] - (In epoch/Overall): (101/322)| inst_loss: 0.1457 - Mean loss: 0.2004 - acc: 0.9356 - norm: 2.27 - 6.14s
[2024-06-16 16:55:17,470][utils.model][INFO] - (In epoch/Overall): (111/332)| inst_loss: 0.1619 - Mean loss: 0.1941 - acc: 0.9367 - norm: 2.68 - 6.66s
[2024-06-16 16:55:17,958][utils.model][INFO] - (In epoch/Overall): (121/342)| inst_loss: 0.1408 - Mean loss: 0.1955 - acc: 0.9370 - norm: 2.95 - 7.15s
[2024-06-16 16:55:18,488][utils.model][INFO] - (In epoch/Overall): (131/352)| inst_loss: 0.1594 - Mean loss: 0.1947 - acc: 0.9373 - norm: 3.22 - 7.67s
[2024-06-16 16:55:19,083][utils.model][INFO] - (In epoch/Overall): (141/362)| inst_loss: 0.3808 - Mean loss: 0.1907 - acc: 0.9386 - norm: 3.57 - 8.27s
[2024-06-16 16:55:19,600][utils.model][INFO] - (In epoch/Overall): (151/372)| inst_loss: 0.3415 - Mean loss: 0.1907 - acc: 0.9385 - norm: 3.87 - 8.79s
[2024-06-16 16:55:20,089][utils.model][INFO] - (In epoch/Overall): (161/382)| inst_loss: 0.3279 - Mean loss: 0.1892 - acc: 0.9389 - norm: 4.30 - 9.28s
[2024-06-16 16:55:20,586][utils.model][INFO] - (In epoch/Overall): (171/392)| inst_loss: 0.2537 - Mean loss: 0.1861 - acc: 0.9402 - norm: 4.59 - 9.77s
[2024-06-16 16:55:21,089][utils.model][INFO] - (In epoch/Overall): (181/402)| inst_loss: 0.4608 - Mean loss: 0.1872 - acc: 0.9404 - norm: 4.96 - 10.28s
[2024-06-16 16:55:21,174][utils.model][INFO] - Epoch Results:
[2024-06-16 16:55:21,180][utils.model][INFO] - (In epoch/Overall): (182/403)| inst_loss: 0.3678 - Mean loss: 0.1882 - acc: 0.9404 - norm: 4.99 - 10.36s
[2024-06-16 16:55:23,050][utils.model][INFO] - Evaluation Results - Val Loss: 0.1561, Val Accuracy: 0.9545 in 32 steps
