[2024-06-22 14:42:54,327][utils.model][INFO] - Step 15/40 - val_loss: 0.3792 - val_accuracy: 0.8922
[2024-06-22 14:42:54,348][utils.model][INFO] - Step 16/40 - val_loss: 0.3825 - val_accuracy: 0.8904
[2024-06-22 14:42:54,368][utils.model][INFO] - Step 17/40 - val_loss: 0.3865 - val_accuracy: 0.8899
[2024-06-22 14:42:54,388][utils.model][INFO] - Step 18/40 - val_loss: 0.3874 - val_accuracy: 0.8898
[2024-06-22 14:42:54,411][utils.model][INFO] - Step 19/40 - val_loss: 0.3852 - val_accuracy: 0.8904
[2024-06-22 14:42:54,435][utils.model][INFO] - Step 20/40 - val_loss: 0.3831 - val_accuracy: 0.8918
[2024-06-22 14:42:54,459][utils.model][INFO] - Step 21/40 - val_loss: 0.3755 - val_accuracy: 0.8945
[2024-06-22 14:42:54,482][utils.model][INFO] - Step 22/40 - val_loss: 0.3650 - val_accuracy: 0.8977
[2024-06-22 14:42:54,506][utils.model][INFO] - Step 23/40 - val_loss: 0.3594 - val_accuracy: 0.8995
[2024-06-22 14:42:54,526][utils.model][INFO] - Step 24/40 - val_loss: 0.3596 - val_accuracy: 0.8989
[2024-06-22 14:42:54,546][utils.model][INFO] - Step 25/40 - val_loss: 0.3522 - val_accuracy: 0.9013
[2024-06-22 14:42:54,568][utils.model][INFO] - Step 26/40 - val_loss: 0.3518 - val_accuracy: 0.9017
[2024-06-22 14:42:54,588][utils.model][INFO] - Step 27/40 - val_loss: 0.3487 - val_accuracy: 0.9032
[2024-06-22 14:42:54,606][utils.model][INFO] - Step 28/40 - val_loss: 0.3417 - val_accuracy: 0.9058
[2024-06-22 14:42:54,624][utils.model][INFO] - Step 29/40 - val_loss: 0.3379 - val_accuracy: 0.9075
[2024-06-22 14:42:54,643][utils.model][INFO] - Step 30/40 - val_loss: 0.3359 - val_accuracy: 0.9079
[2024-06-22 14:42:54,662][utils.model][INFO] - Step 31/40 - val_loss: 0.3349 - val_accuracy: 0.9078
[2024-06-22 14:42:54,681][utils.model][INFO] - Step 32/40 - val_loss: 0.3302 - val_accuracy: 0.9089
[2024-06-22 14:42:54,699][utils.model][INFO] - Step 33/40 - val_loss: 0.3273 - val_accuracy: 0.9100
[2024-06-22 14:42:54,717][utils.model][INFO] - Step 34/40 - val_loss: 0.3220 - val_accuracy: 0.9115
[2024-06-22 14:42:54,735][utils.model][INFO] - Step 35/40 - val_loss: 0.3149 - val_accuracy: 0.9138
